"id","Item URI","Dublin Core:Title","Dublin Core:Creator","Dublin Core:Date","Dublin Core:Identifier","xml_link","collection"
"BUCA_Bastaire_Roman_Aventures_C95424","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73448","Le secret du volcan","Tossel, Paul (1911-1980)",1937,"BUCA_Bastaire_Roman_Aventures_C95424","BUCA_Bastaire_Roman_Aventures_C95424.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95423","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73447","Sous le signe de la lèpre","Pelloussat, Louis-Roger (1911-1980)",1937,"BUCA_Bastaire_Roman_Aventures_C95423","BUCA_Bastaire_Roman_Aventures_C95423.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95422","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73446","Les pillards de la cafrerie","Richard, Ernest (18..?-19..?)",1937,"BUCA_Bastaire_Roman_Aventures_C95422","BUCA_Bastaire_Roman_Aventures_C95422.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95425","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73445","L'île empoisonnée","Simenon, Georges (1903-1989)",1937,"BUCA_Bastaire_Roman_Aventures_C95425","BUCA_Bastaire_Roman_Aventures_C95425.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95448","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73444","Les captifs de Sind Wha","Pelloussat, Louis-Roger (1911-1980)",1938,"BUCA_Bastaire_Roman_Aventures_C95448","BUCA_Bastaire_Roman_Aventures_C95448.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95447","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73443","L' effroyable aventure","Duchesne, René (1891-1964)",1938,"BUCA_Bastaire_Roman_Aventures_C95447","BUCA_Bastaire_Roman_Aventures_C95447.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95444","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73442","Le maître des sables","Michel , André",1938,"BUCA_Bastaire_Roman_Aventures_C95444","BUCA_Bastaire_Roman_Aventures_C95444.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95443","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73441","Bengali l'intrépide","Limat , Maurice (1914-2002)",1938,"BUCA_Bastaire_Roman_Aventures_C95443","BUCA_Bastaire_Roman_Aventures_C95443.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95445","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73440","Démon-rouge","Darry , Michel",1938,"BUCA_Bastaire_Roman_Aventures_C95445","BUCA_Bastaire_Roman_Aventures_C95445.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95442","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73439","I. F. 2","Thaillard, René",1937,"BUCA_Bastaire_Roman_Aventures_C95442","BUCA_Bastaire_Roman_Aventures_C95442.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95446","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73438","Les voleurs d'enfants","Voussac, Jean (1898-1967)",1938,"BUCA_Bastaire_Roman_Aventures_C95446","BUCA_Bastaire_Roman_Aventures_C95446.xml","Le petit roman d'aventures"
